Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
M940swDesc,items,Ammo,New,This Beretta M9 uses .40 Smith & Wesson ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

10mmAutoPistol,items,Ammo,New,Beretta M9 [10mm Auto],,,,,
10mmautopistolDesc,items,Ammo,New,This Beretta M9 uses 10mm Auto ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
10mmAutoPistolSchematic,items,Ammo,New,Beretta M9 [10mm Auto] Schematic,,,,,

M945acpDesc,items,Ammo,New,This Beretta M9 uses .45 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
M950aeDesc,items,Ammo,New,This Beretta M9 uses .50 Action Express ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,



Revolver410Desc,items,Ammo,New,This S&W Governor uses .410 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver22Desc,items,Ammo,New,This S&W Model 617 uses .22 Short and Long-Rifle ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver327Desc,items,Ammo,New,This Ruger GP100 uses .327 Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver35738Desc,items,Ammo,New,This S&W Model 686 can use .357 Magnum and .38 Special ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Revolver500swDesc,items,Ammo,New,This S&W 500 uses .500 Smith & Wesson Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,

S/W Governor [.410 Gauge],items,Weapons,New,S&W Governor [.410 Gauge],,,,,
S/W Model 617 [.22 S/LR],items,Weapons,New,S&W Model 617 [.22 S/LR],,,,,
Ruger GP100 [.327 Magnum],items,Weapons,New,Ruger GP100 [.327 Magnum],,,,,
S/W Model 686 [.357 MAG/.38 SP],items,Weapons,New,S&W Model 686 [.357 MAG/.38 SP],,,,,
S/W 500 [.500 S/W Magnum],items,Weapons,New,S&W 500 [.500 S&W Magnum],,,,,


Mp522Desc,items,Ammo,New,This MP5 can use .22 Short and Long-Rifle ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp5380Desc,items,Ammo,New,This MP5 uses .380 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp5357Desc,items,Ammo,New,This MP5 uses .357 SIG ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp540swDesc,items,Ammo,New,This MP5 uses .40 Smith & Wesson ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp510mmautoDesc,items,Ammo,New,This MP5 uses 10mm Auto ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,
Mp545acpDesc,items,Ammo,New,This MP5 uses .45 ACP ammo.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.,,,,,



Rem70030carbDesc,items,Ammo,New,This Remington 700 uses .30 Carbine ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700223556Desc,items,Ammo,New,This Remington 700 can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem7003030winDesc,items,Ammo,New,This Remington 700 uses .30-30 Winchester ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem70076254rDesc,items,Ammo,New,This Remington 700 uses 7.62x54R ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem7009x39Desc,items,Ammo,New,This Remington 700 uses 9x39mm ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700308762Desc,items,Ammo,New,This Remington 700 can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem7004570Desc,items,Ammo,New,This Remington 700 uses .45-70 Government ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700458winmagDesc,items,Ammo,New,This Remington 700 uses .458 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
Rem700500nitroDesc,items,Ammo,New,Well hot dam! This Remington 700 uses 500 Nitro Express ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,



Rem760022Desc,items,Ammo,New,What was remington thinking! This .22 S/LR rifle-barreled shotgun SUCKS against zombies.\nThis Remington 7600 uses 22 LR ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem7600223556Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem76003030winDesc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses .30-30 Winchester ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem7600308762Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem76003006Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses 30-06 Springfield ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem7600300winmagDesc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses .300 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem76004570Desc,items,Ammo,New,What was remington thinking! A rifle-barreled shotgun can't be as good as it sounds? I'll Take 10.\nThis Remington 7600 uses .45-70 Government ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,



RSASS223556Desc,items,Ammo,New,This Remington R11 RSASS can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS65creeDesc,items,Ammo,New,This Remington R11 RSASS uses 6.5 Creedmoor ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS308762Desc,items,Ammo,New,This Remington R11 RSASS can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS8mmDesc,items,Ammo,New,This Remington R11 RSASS uses 7.92x57mm Mauser ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS3006Desc,items,Ammo,New,This Remington R11 RSASS uses 30-06 Springfield ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS300winmagDesc,items,Ammo,New,This Remington R11 RSASS uses .300 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS338lapuamagDesc,items,Ammo,New,This Remington R11 RSASS uses .338 Lapua Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,
RSASS50calDesc,items,Ammo,New,This Remington R11 RSASS uses 50 BMG ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,,,,



AK4730carbHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .30 Carbine ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK47223556HarryDesc,items,Ammo,New,This badass AK-47 Machine Gun can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK4754539HarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses 5.45x39mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK47300boHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .300 AAC Blackout ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK479x39HarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses 9x39mm ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK47458socomHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .458 SOCOM ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
AK4750beoHarryDesc,items,Ammo,New,This badass AK-47 Machine Gun uses .50 Beowulf ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,

AK-47 [.30 Carbine],items,Ammo,New,Kalashnikov AK-47 [.30 Carbine],,,,,
AK-47 [.223/5.56],items,Ammo,New,Kalashnikov AK-47 [.223/5.56],,,,,
AK-47 [5.45x39mm],items,Ammo,New,Kalashnikov AK-47 [5.45x39mm],,,,,
AK-47 [.300 AAC Blackout],items,Ammo,New,Kalashnikov AK-47 [.300 AAC Blackout],,,,,
AK-47 [9x39mm],items,Ammo,New,Kalashnikov AK-47 [9x39mm],,,,,
AK-47 [.458 SOCOM],items,Ammo,New,Kalashnikov AK-47 [.458 SOCOM],,,,,
AK-47 [.50 Beowulf],items,Ammo,New,Kalashnikov AK-47 [.50 Beowulf],,,,,

AK-47 [.30 Carbine] Schematic,items,Ammo,New,Kalashnikov AK-47 [.30 Carbine] Schematic,,,,,
AK-47 [.223/5.56] Schematic,items,Ammo,New,Kalashnikov AK-47 [.223/5.56] Schematic,,,,,
AK-47 [5.45x39mm] Schematic,items,Ammo,New,Kalashnikov AK-47 [5.45x39mm] Schematic,,,,,
AK-47 [.300 AAC Blackout] Schematic,items,Ammo,New,Kalashnikov AK-47 [.300 AAC Blackout] Schematic,,,,,
AK-47 [9x39mm] Schematic,items,Ammo,New,Kalashnikov AK-47 [9x39mm] Schematic,,,,,
AK-47 [.458 SOCOM] Schematic,items,Ammo,New,Kalashnikov AK-47 [.458 SOCOM] Schematic,,,,,
AK-47 [.50 Beowulf] Schematic,items,Ammo,New,Kalashnikov AK-47 [.50 Beowulf] Schematic,,,,,



M60E4223556Desc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one can use .223 Remington and 5.56x45mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E4300boDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses .300 AAC Blackout ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E4458socomDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses .458 SOCOM ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E450beoDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses .50 Beowulf ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E4308762Desc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one can use .308 Winchester and 7.62x51mm NATO ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E48mmDesc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.92x57mm Mauser ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M60E43006Desc,items,Ammo,New,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 30-06 Springfield ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,



Saiga12410Desc,items,Ammo,New,This badass Saiga-12 uses .410 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1220Desc,items,Ammo,New,This badass Saiga-12 uses 20 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1216Desc,items,Ammo,New,This badass Saiga-12 uses 16 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1212Desc,items,Ammo,New,This badass Saiga-12 uses 12 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Saiga1210Desc,items,Ammo,New,This badass Saiga-12 uses 10 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,



Mossberg590410Desc,items,Ammo,New,This Mossberg 590 shotgun uses .410 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Mossberg59020Desc,items,Ammo,New,This Mossberg 590 shotgun uses 20 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Mossberg59016Desc,items,Ammo,New,This Mossberg 590 shotgun uses 16 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Mossberg59010Desc,items,Ammo,New,This Mossberg 590 shotgun uses 10 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,



KodiakMark300winmagDesc,items,Ammo,New,Just another old rusty double barrel, but wait its chambered for .300 Winchester Magnum! Uses .300 Winchester Magnum ammo.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,



Rem188710Desc,items,Ammo,New,A rusty old double barrel shotgun, great for close range carnage. Uses 10 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem188716Desc,items,Ammo,New,A rusty old double barrel shotgun, great for close range carnage. Uses 16 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem188720Desc,items,Ammo,New,A rusty old double barrel shotgun, great for close range carnage. Uses 20 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Rem1887410Desc,items,Ammo,New,A rusty old double barrel shotgun, great for close range carnage. Uses .410 Shotgun Shells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
























380ACP,items,Ammo,New,.380 ACP (AMMO),,,,,
380ACPDesc,items,Ammo,New,Can be crafted at a workbench.\nDamage - 50\nRange-90,,,,,

ammoBundle380ACP,items,Ammo,New,Box of .380 ACP (100),,,,,

Receiver380ACP,items,Ammo,New,Receiver [.380 ACP],,,,,
Receiver380ACPDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel380ACP,items,Ammo,New,Barrel [.380 ACP],,,,,
Barrel380ACPDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit380ACP,items,Ammo,New,Conversion kit [.380 ACP],,,,,
Conversionkit380ACPDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



357SIG,items,Ammo,New,.357 SIG (AMMO),,,,,
357SIGDesc,items,Ammo,New,50 Damage,,,,,

ammoBundle357SIG,items,Ammo,New,Box of .357 SIG (100),,,,,

Receiver357SIG,items,Ammo,New,Receiver [.357 SIG],,,,,
Receiver357SIGDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel357SIG,items,Ammo,New,Barrel [.357 SIG],,,,,
Barrel357SIGDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit357SIG,items,Ammo,New,Conversion kit [.357 SIG],,,,,
Conversionkit357SIGDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



40S_W,items,Ammo,New,.40 Smith & Wesson (AMMO),,,,,
40S_WDesc,items,Ammo,New,50 Damage,,,,,

ammoBundle40S_W,items,Ammo,New,Box of .40 Smith & Wesson (100),,,,,

Receiver40S_W,items,Ammo,New,Receiver [.40 Smith & Wesson],,,,,
Receiver40S_WDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel40S_W,items,Ammo,New,Barrel [.40 Smith & Wesson],,,,,
Barrel40S_WDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit40S_W,items,Ammo,New,Conversion kit [.40 Smith & Wesson],,,,,
Conversionkit40S_WDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,

.40SmithWessonReceiverSchematic,items,Ammo,New,.40 Smith & Wesson Receiver Schematic,,,,,
.40SmithWessonBarrelSchematic,items,Ammo,New,.40 Smith & Wesson Barrel Schematic,,,,,
.40SmithWessonConversionkitSchematic,items,Ammo,New,.40 Smith & Wesson Conversion kit Schematic,,,,,

.40SWSchematic,items,Ammo,New,.40 Smith & Wesson Schematic,,,,,



10mmauto,items,Ammo,New,10mm Auto (AMMO),,,,,
10mmautoDesc,items,Ammo,New,Can be crafted at a workbench.\nDamage - 50\nRange-90,,,,,
10mmautoSchematic,items,Ammo,New,10mm Auto Schematic,,,,,

10mmautoBundle,items,Ammo,New,Box of 10mm Auto (100),,,,,

Receiver10mmAuto,items,Ammo,New,Receiver [10mm Auto],,,,,
Receiver10mmAutoDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel10mmAuto,items,Ammo,New,Barrel [10mm Auto],,,,,
Barrel10mmAutoDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit10mmAuto,items,Ammo,New,Conversion kit [10mm Auto],,,,,
Conversionkit10mmAutoDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,

Receiver10mmAutoSchematic,items,Ammo,New,Receiver [10mm Auto],,,,,
Barrel10mmAutoSchematic,items,Ammo,New,Barrel [10mm Auto],,,,,
Conversionkit10mmAutoSchematic,items,Ammo,New,Conversion kit [10mm Auto],,,,,



45ACP,items,Ammo,New,.45 ACP (AMMO),,,,,
45ACPDesc,items,Ammo,New,50 Damage,,,,,

ammoBundle45ACP,items,Ammo,New,Box of .45 ACP (100),,,,,

Receiver45ACP,items,Ammo,New,Receiver [.45 ACP],,,,,
Receiver45ACPDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel45ACP,items,Ammo,New,Barrel [.45 ACP],,,,,
Barrel45ACPDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit45ACP,items,Ammo,New,Conversion kit [.45 ACP],,,,,
Conversionkit45ACPDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



50ActionExpress,items,Ammo,New,.50 Action Express (AMMO),,,,,
50ActionExpressDesc,items,Ammo,New,50 Damage,,,,,

ammoBundle50ActionExpress,items,Ammo,New,Box of .50 Action Express (100),,,,,

Receiver50ActionExpress,items,Ammo,New,Receiver [.50 Action Express],,,,,
Receiver50ActionExpressDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel50ActionExpress,items,Ammo,New,Barrel [.50 Action Express],,,,,
Barrel50ActionExpressDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit50ActionExpress,items,Ammo,New,Conversion kit [.50 Action Express],,,,,
Conversionkit50ActionExpressDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,





327Magnum,items,Ammo,New,.327 Magnum (AMMO),,,,,
327MagnumDesc,items,Ammo,New,50 Damage,,,,,

ammoBundle327Magnum,items,Ammo,New,Box of .327 Magnum (100),,,,,

Receiver327Magnum,items,Ammo,New,Receiver [.327 Magnum],,,,,
Receiver327MagnumDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel327Magnum,items,Ammo,New,Barrel [.327 Magnum],,,,,
Barrel327MagnumDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit327Magnum,items,Ammo,New,Conversion kit [.327 Magnum],,,,,
Conversionkit327MagnumDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



38Special,items,Ammo,New,.38 Special (AMMO),,,,,
38SpecialDesc,items,Ammo,New,50 Damage,,,,,

ammoBundle38Special,items,Ammo,New,Box of .38 Special (100),,,,,

357Magnum,items,Ammo,New,.357 Magnum (AMMO),,,,,
357MagnumDesc,items,Ammo,New,50 Damage,,,,,

ammoBundle357Magnum,items,Ammo,New,Box of .357 Magnum (100),,,,,

Receiver357MAG38SP,items,Ammo,New,Receiver [.357 MAG/.38 SP],,,,,
Receiver357MAG38SPDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel357MAG38SP,items,Ammo,New,Barrel [.357 MAG/.38 SP],,,,,
Barrel357MAG38SPDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit357MAG38SP,items,Ammo,New,Conversion kit [.357 MAG/.38 SP],,,,,
Conversionkit357MAG38SPDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



500S_WMagnum,items,Ammo,New,.500 Smith & Wesson Magnum (AMMO),,,,,
500S_WMagnumDesc,items,Ammo,New,500 Damage,,,,,

ammoBundle500S_WMagnum,items,Ammo,New,Box of .500 Smith & Wesson Magnum (100),,,,,

Receiver500S_WMagnum,items,Ammo,New,Receiver [.500 Smith & Wesson Magnum],,,,,
Receiver500S_WMagnumDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel500S_WMagnum,items,Ammo,New,Barrel [.500 Smith & Wesson Magnum],,,,,
Barrel500S_WMagnumDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit500S_WMagnum,items,Ammo,New,Conversion kit [.500 Smith & Wesson Magnum],,,,,
Conversionkit500S_WMagnumDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,

500S_WMagnumReceiverSchematic,items,Ammo,New,.500 Smith & Wesson Magnum Receiver Schematic,,,,,
500S_WMagnumBarrelSchematic,items,Ammo,New,.500 Smith & Wesson Magnum Barrel Schematic,,,,,
500S_WMagnumConversionkitSchematic,items,Ammo,New,.500 Smith & Wesson Magnum Conversion kit Schematic,,,,,

500SmithWessonMagnumSchematic,items,Ammo,New,.500 Smith & Wesson Magnum Schematic,,,,,














22short,items,Ammo,New,.22 Short (AMMO),,,,,

22LR,items,Ammo,New,.22 LR (AMMO),,,,,

22shortDesc,items,Ammo,New,10000 Damage I BET,,,,,

22LRDesc,items,Ammo,New,IDK why you fellers be hateings on me 22s,,,,,

22shortBundle,items,Ammo,New,Box of .22 Short (100),,,,,

ammoBundle22LR,items,Ammo,New,Box of .22 LR (100),,,,,

Receiver22LR,items,Ammo,New,Receiver [.22 S/LR],,,,,
Receiver22LRDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel22LR,items,Ammo,New,Barrel [.22 S/LR],,,,,
Barrel22LRDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit22LR,items,Ammo,New,Conversion kit [.22 S/LR],,,,,
Conversionkit22LRDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,

22shortSchematic,items,Ammo,New,.22 Short Schematic,,,,,



30_30Winchester,items,Ammo,New,.30-30 Winchester (AMMO),,,,,
30_30WinchesterDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle30_30Winchester,items,Ammo,New,Box of .30-30 Winchester (100),,,,,

Receiver30_30Winchester,items,Ammo,New,Receiver [.30-30 Winchester],,,,,
Receiver30_30WinchesterDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel30_30Winchester,items,Ammo,New,Barrel [.30-30 Winchester],,,,,
Barrel30_30WinchesterDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit30_30Winchester,items,Ammo,New,Conversion kit [.30-30 Winchester],,,,,
Conversionkit30_30WinchesterDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



308Winchester,items,Ammo,New,.308 Winchester (AMMO),,,,,
308WinchesterDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle308Winchester,items,Ammo,New,Box of .308 Winchester (100),,,,,

762x51mmNATO,items,Ammo,New,7.62x51mm NATO (AMMO),,,,,
762x51mmNATODesc,items,Ammo,New,100 Damage,,,,,

ammoBundle762x51mmNATO,items,Ammo,New,Box of 7.62x51mm NATO (100),,,,,

Receiver308Win_762mmNATO,items,Ammo,New,Receiver [.308 Win/7.62mm NATO],,,,,
Receiver308Win_762mmNATODesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel308Win_762mmNATO,items,Ammo,New,Barrel [.308 Win/7.62mm NATO],,,,,
